baseSku,productName,productDescription,categorySlug,variantSku,attributeSummary,price,stockQuantity
PRD1007,Choice Sugar,Eco-Friendly choice sugar. Highly rated and perfect for everyday use.,groceries-baking,PRD1007-V4,5kg,92.26,310
PRD1008,Choice Rice,Premium choice rice. Highly rated and perfect for everyday use.,groceries-canned-goods,PRD1008-V1,5kg,58.3,424
PRD1008,Choice Rice,Premium choice rice. Highly rated and perfect for everyday use.,groceries-canned-goods,PRD1008-V2,2kg,49.65,253
PRD1008,Choice Rice,Standard choice rice. Highly rated and perfect for everyday use.,groceries-canned-goods,PRD1008-V3,1kg,56.2,219
PRD1008,Choice Rice,Premium choice rice. Highly rated and perfect for everyday use.,groceries-canned-goods,PRD1008-V4,10kg,66.39,285
PRD1009,Prime Standard Body Wash,Basic prime standard body wash. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1009-V1,500ml,171.24,108
PRD1009,Prime Standard Body Wash,Deluxe prime standard body wash. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1009-V2,100ml,147.18,276
PRD1009,Prime Standard Body Wash,Advanced prime standard body wash. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1009-V3,1L,128.2,37
PRD1009,Prime Standard Body Wash,Pro prime standard body wash. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1009-V4,250ml,134.71,253
PRD1010,Daily Pro Shampoo,Advanced daily pro shampoo. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1010-V1,250ml,46.62,36
PRD1010,Daily Pro Shampoo,Basic daily pro shampoo. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1010-V2,1L,48.13,59
PRD1010,Daily Pro Shampoo,Standard daily pro shampoo. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1010-V3,500ml,27.71,476
PRD1010,Daily Pro Shampoo,Pro daily pro shampoo. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1010-V4,100ml,29.56,274
PRD1011,Choice Cookies,Premium choice cookies. Highly rated and perfect for everyday use.,groceries-canned-goods,PRD1011-V1,2kg,103.25,449
PRD1011,Choice Cookies,Pro choice cookies. Highly rated and perfect for everyday use.,groceries-canned-goods,PRD1011-V2,10kg,83.63,149
PRD1011,Choice Cookies,Advanced choice cookies. Highly rated and perfect for everyday use.,groceries-canned-goods,PRD1011-V3,1kg,89.25,320
PRD1012,Luxe HDMI Cable,Deluxe luxe hdmi cable. Highly rated and perfect for everyday use.,electronics-power,PRD1012-V1,White,236.53,52
PRD1012,Luxe HDMI Cable,Standard luxe hdmi cable. Highly rated and perfect for everyday use.,electronics-power,PRD1012-V2,Silver,224.61,158
PRD1013,Prime Keyboard,Deluxe prime keyboard. Highly rated and perfect for everyday use.,electronics-power,PRD1013-V1,White,229.37,306
PRD1013,Prime Keyboard,Basic prime keyboard. Highly rated and perfect for everyday use.,electronics-power,PRD1013-V2,Silver,263.24,100
PRD1014,Luxe Premium Soap Bar,Eco-Friendly luxe premium soap bar. Highly rated and perfect for everyday use.,health-and-beauty-skincare,PRD1014-V1,250ml,66.54,443
PRD1014,Luxe Premium Soap Bar,Standard luxe premium soap bar. Highly rated and perfect for everyday use.,health-and-beauty-skincare,PRD1014-V2,100ml,60.95,219
PRD1014,Luxe Premium Soap Bar,Standard luxe premium soap bar. Highly rated and perfect for everyday use.,health-and-beauty-skincare,PRD1014-V3,500ml,60.78,289
PRD1014,Luxe Premium Soap Bar,Eco-Friendly luxe premium soap bar. Highly rated and perfect for everyday use.,health-and-beauty-skincare,PRD1014-V4,1L,63.66,304
PRD1015,Max Cotton Jeans,Premium max cotton jeans. Highly rated and perfect for everyday use.,clothing-womens,PRD1015-V1,XL,618.29,486
PRD1015,Max Cotton Jeans,Basic max cotton jeans. Highly rated and perfect for everyday use.,clothing-womens,PRD1015-V2,Small,635.54,159
PRD1015,Max Cotton Jeans,Advanced max cotton jeans. Highly rated and perfect for everyday use.,clothing-womens,PRD1015-V3,XXL,524.25,404
PRD1016,Luxe Beans,Basic luxe beans. Highly rated and perfect for everyday use.,groceries-pantry,PRD1016-V1,1kg,28.8,420
PRD1016,Luxe Beans,Deluxe luxe beans. Highly rated and perfect for everyday use.,groceries-pantry,PRD1016-V2,10kg,28.62,112
PRD1016,Luxe Beans,Pro luxe beans. Highly rated and perfect for everyday use.,groceries-pantry,PRD1016-V3,2kg,44.67,429
PRD1017,Daily Bed Sheets,Deluxe daily bed sheets. Highly rated and perfect for everyday use.,home-and-garden-gardening,PRD1017-V1,Large,85.31,492
PRD1018,Essential Premium Moisturizer,Pro essential premium moisturizer. Highly rated and perfect for everyday use.,health-and-beauty-bath,PRD1018-V1,100ml,46.87,248
PRD1018,Essential Premium Moisturizer,Basic essential premium moisturizer. Highly rated and perfect for everyday use.,health-and-beauty-bath,PRD1018-V2,1L,67.11,348
PRD1019,Monate Wireless Mouse,Pro monate wireless mouse. Highly rated and perfect for everyday use.,electronics-cables,PRD1019-V1,White,329.49,98
PRD1019,Monate Wireless Mouse,Standard monate wireless mouse. Highly rated and perfect for everyday use.,electronics-cables,PRD1019-V2,Blue,288.05,318
PRD1019,Monate Wireless Mouse,Premium monate wireless mouse. Highly rated and perfect for everyday use.,electronics-cables,PRD1019-V3,Black,229.89,76
PRD1019,Monate Wireless Mouse,Premium monate wireless mouse. Highly rated and perfect for everyday use.,electronics-cables,PRD1019-V4,Silver,219.16,224
PRD1020,Max Deluxe Soap Bar,Deluxe max deluxe soap bar. Highly rated and perfect for everyday use.,health-and-beauty-bath,PRD1020-V1,1L,46.54,174
PRD1021,Max Power Bank,Basic max power bank. Highly rated and perfect for everyday use.,electronics-audio,PRD1021-V1,White,191.74,305
PRD1021,Max Power Bank,Eco-Friendly max power bank. Highly rated and perfect for everyday use.,electronics-audio,PRD1021-V2,Black,127.02,493
PRD1021,Max Power Bank,Standard max power bank. Highly rated and perfect for everyday use.,electronics-audio,PRD1021-V3,Blue,142.15,61
PRD1021,Max Power Bank,Eco-Friendly max power bank. Highly rated and perfect for everyday use.,electronics-audio,PRD1021-V4,Silver,130.3,173
PRD1022,Daily Cotton Hoodie,Basic daily cotton hoodie. Highly rated and perfect for everyday use.,clothing-womens,PRD1022-V1,XL,520.09,468
PRD1022,Daily Cotton Hoodie,Advanced daily cotton hoodie. Highly rated and perfect for everyday use.,clothing-womens,PRD1022-V2,XXL,308.85,493
PRD1022,Daily Cotton Hoodie,Eco-Friendly daily cotton hoodie. Highly rated and perfect for everyday use.,clothing-womens,PRD1022-V3,Small,389.13,322
PRD1022,Daily Cotton Hoodie,Advanced daily cotton hoodie. Highly rated and perfect for everyday use.,clothing-womens,PRD1022-V4,Medium,381.92,361
PRD1023,Ultra Keyboard,Eco-Friendly ultra keyboard. Highly rated and perfect for everyday use.,electronics-peripherals,PRD1023-V1,Silver,105.11,142
PRD1023,Ultra Keyboard,Premium ultra keyboard. Highly rated and perfect for everyday use.,electronics-peripherals,PRD1023-V2,Black,137.5,132
PRD1023,Ultra Keyboard,Standard ultra keyboard. Highly rated and perfect for everyday use.,electronics-peripherals,PRD1023-V3,White,96.77,338
PRD1024,Max Wireless Mouse,Eco-Friendly max wireless mouse. Highly rated and perfect for everyday use.,electronics-cables,PRD1024-V1,Silver,410.72,10
PRD1024,Max Wireless Mouse,Premium max wireless mouse. Highly rated and perfect for everyday use.,electronics-cables,PRD1024-V2,Blue,437.91,443
PRD1025,Choice Sugar,Standard choice sugar. Highly rated and perfect for everyday use.,groceries-canned-goods,PRD1025-V1,1kg,47.37,472
PRD1025,Choice Sugar,Pro choice sugar. Highly rated and perfect for everyday use.,groceries-canned-goods,PRD1025-V2,10kg,44.16,292
PRD1025,Choice Sugar,Eco-Friendly choice sugar. Highly rated and perfect for everyday use.,groceries-canned-goods,PRD1025-V3,5kg,41.52,447
PRD1026,Ultra Cookies,Deluxe ultra cookies. Highly rated and perfect for everyday use.,groceries-snacks,PRD1026-V1,2kg,59.02,133
PRD1027,Ultra Pasta,Standard ultra pasta. Highly rated and perfect for everyday use.,groceries-beverages,PRD1027-V1,1kg,25.16,62
PRD1027,Ultra Pasta,Basic ultra pasta. Highly rated and perfect for everyday use.,groceries-beverages,PRD1027-V2,2kg,17.42,56
PRD1027,Ultra Pasta,Standard ultra pasta. Highly rated and perfect for everyday use.,groceries-beverages,PRD1027-V3,10kg,29.29,487
PRD1027,Ultra Pasta,Pro ultra pasta. Highly rated and perfect for everyday use.,groceries-beverages,PRD1027-V4,5kg,23.54,229
PRD1028,Luxe LED Bulb,Deluxe luxe led bulb. Highly rated and perfect for everyday use.,home-and-garden-gardening,PRD1028-V1,Value Pack,265.18,426
PRD1028,Luxe LED Bulb,Standard luxe led bulb. Highly rated and perfect for everyday use.,home-and-garden-gardening,PRD1028-V2,Large,283.43,424
PRD1028,Luxe LED Bulb,Basic luxe led bulb. Highly rated and perfect for everyday use.,home-and-garden-gardening,PRD1028-V3,Standard,191.43,365
PRD1029,Luxe Advanced Shampoo,Pro luxe advanced shampoo. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1029-V1,250ml,112.7,155
PRD1029,Luxe Advanced Shampoo,Premium luxe advanced shampoo. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1029-V2,100ml,113.34,102
PRD1029,Luxe Advanced Shampoo,Standard luxe advanced shampoo. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1029-V3,500ml,183.13,489
PRD1029,Luxe Advanced Shampoo,Advanced luxe advanced shampoo. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1029-V4,1L,173.27,233
PRD1030,Monate Cotton Jacket,Eco-Friendly monate cotton jacket. Highly rated and perfect for everyday use.,clothing-kids,PRD1030-V1,XL,389.71,247
PRD1030,Monate Cotton Jacket,Standard monate cotton jacket. Highly rated and perfect for everyday use.,clothing-kids,PRD1030-V2,Large,365.73,477
PRD1030,Monate Cotton Jacket,Premium monate cotton jacket. Highly rated and perfect for everyday use.,clothing-kids,PRD1030-V3,Small,443.76,262
PRD1030,Monate Cotton Jacket,Pro monate cotton jacket. Highly rated and perfect for everyday use.,clothing-kids,PRD1030-V4,XXL,468.48,367
PRD1030,Monate Cotton Jacket,Standard monate cotton jacket. Highly rated and perfect for everyday use.,clothing-kids,PRD1030-V5,Medium,416.51,258
PRD1031,Monate Cotton Socks,Deluxe monate cotton socks. Highly rated and perfect for everyday use.,clothing-winter,PRD1031-V1,Large,272.07,225
PRD1031,Monate Cotton Socks,Premium monate cotton socks. Highly rated and perfect for everyday use.,clothing-winter,PRD1031-V2,XXL,402.66,180
PRD1031,Monate Cotton Socks,Basic monate cotton socks. Highly rated and perfect for everyday use.,clothing-winter,PRD1031-V3,Medium,270.18,399
PRD1032,Luxe Earbuds,Eco-Friendly luxe earbuds. Highly rated and perfect for everyday use.,electronics-accessories,PRD1032-V1,White,139.13,43
PRD1033,Luxe Pro Moisturizer,Basic luxe pro moisturizer. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1033-V1,100ml,64.16,173
PRD1033,Luxe Pro Moisturizer,Pro luxe pro moisturizer. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1033-V2,1L,74.08,451
PRD1033,Luxe Pro Moisturizer,Standard luxe pro moisturizer. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1033-V3,500ml,78.6,76
PRD1033,Luxe Pro Moisturizer,Advanced luxe pro moisturizer. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1033-V4,250ml,44.1,417
PRD1034,Max Throw Pillow,Deluxe max throw pillow. Highly rated and perfect for everyday use.,home-and-garden-cleaning,PRD1034-V1,Value Pack,95.52,491
PRD1035,Essential HDMI Cable,Pro essential hdmi cable. Highly rated and perfect for everyday use.,electronics-power,PRD1035-V1,Black,342.38,33
PRD1035,Essential HDMI Cable,Standard essential hdmi cable. Highly rated and perfect for everyday use.,electronics-power,PRD1035-V2,Blue,420.55,69
PRD1036,Monate LED Bulb,Deluxe monate led bulb. Highly rated and perfect for everyday use.,home-and-garden-lighting,PRD1036-V1,Large,290.48,148
PRD1036,Monate LED Bulb,Pro monate led bulb. Highly rated and perfect for everyday use.,home-and-garden-lighting,PRD1036-V2,Value Pack,344.0,145
PRD1037,Daily Wireless Mouse,Pro daily wireless mouse. Highly rated and perfect for everyday use.,electronics-cables,PRD1037-V1,Black,311.96,389
PRD1037,Daily Wireless Mouse,Standard daily wireless mouse. Highly rated and perfect for everyday use.,electronics-cables,PRD1037-V2,Blue,318.09,77
PRD1038,Ultra Premium Soap Bar,Premium ultra premium soap bar. Highly rated and perfect for everyday use.,health-and-beauty-vitamins,PRD1038-V1,1L,37.12,255
PRD1039,Luxe Plant Pot,Advanced luxe plant pot. Highly rated and perfect for everyday use.,home-and-garden-gardening,PRD1039-V1,Standard,340.12,90
PRD1040,Prime Cotton Jacket,Advanced prime cotton jacket. Highly rated and perfect for everyday use.,clothing-activewear,PRD1040-V1,Medium,636.49,197
PRD1041,Daily Cotton Socks,Standard daily cotton socks. Highly rated and perfect for everyday use.,clothing-winter,PRD1041-V1,Large,419.45,448
PRD1041,Daily Cotton Socks,Deluxe daily cotton socks. Highly rated and perfect for everyday use.,clothing-winter,PRD1041-V2,Small,352.08,206
PRD1041,Daily Cotton Socks,Pro daily cotton socks. Highly rated and perfect for everyday use.,clothing-winter,PRD1041-V3,XL,355.27,320
PRD1041,Daily Cotton Socks,Basic daily cotton socks. Highly rated and perfect for everyday use.,clothing-winter,PRD1041-V4,Medium,395.05,492
PRD1041,Daily Cotton Socks,Deluxe daily cotton socks. Highly rated and perfect for everyday use.,clothing-winter,PRD1041-V5,XXL,442.74,447
PRD1042,Essential Wireless Mouse,Eco-Friendly essential wireless mouse. Highly rated and perfect for everyday use.,electronics-audio,PRD1042-V1,Blue,273.39,107
PRD1043,Luxe Flour,Eco-Friendly luxe flour. Highly rated and perfect for everyday use.,groceries-pantry,PRD1043-V1,5kg,47.19,219
PRD1043,Luxe Flour,Deluxe luxe flour. Highly rated and perfect for everyday use.,groceries-pantry,PRD1043-V2,10kg,48.82,6
PRD1043,Luxe Flour,Pro luxe flour. Highly rated and perfect for everyday use.,groceries-pantry,PRD1043-V3,2kg,59.87,303
PRD1043,Luxe Flour,Basic luxe flour. Highly rated and perfect for everyday use.,groceries-pantry,PRD1043-V4,1kg,38.34,353
PRD1044,Monate Towel,Deluxe monate towel. Highly rated and perfect for everyday use.,home-and-garden-lighting,PRD1044-V1,Standard,175.14,286
PRD1045,Ultra Keyboard,Basic ultra keyboard. Highly rated and perfect for everyday use.,electronics-cables,PRD1045-V1,Black,313.88,118
PRD1045,Ultra Keyboard,Eco-Friendly ultra keyboard. Highly rated and perfect for everyday use.,electronics-cables,PRD1045-V2,Silver,405.52,168
PRD1046,Prime Premium Soap Bar,Deluxe prime premium soap bar. Highly rated and perfect for everyday use.,health-and-beauty-oral-care,PRD1046-V1,100ml,46.5,427
PRD1047,Monate USB-C Charger,Advanced monate usb-c charger. Highly rated and perfect for everyday use.,electronics-cables,PRD1047-V1,Black,204.53,275
PRD1047,Monate USB-C Charger,Advanced monate usb-c charger. Highly rated and perfect for everyday use.,electronics-cables,PRD1047-V2,White,260.45,140
PRD1047,Monate USB-C Charger,Advanced monate usb-c charger. Highly rated and perfect for everyday use.,electronics-cables,PRD1047-V3,Blue,298.95,119
PRD1047,Monate USB-C Charger,Premium monate usb-c charger. Highly rated and perfect for everyday use.,electronics-cables,PRD1047-V4,Silver,210.88,135
PRD1048,Daily Cotton T-Shirt,Advanced daily cotton t-shirt. Highly rated and perfect for everyday use.,clothing-womens,PRD1048-V1,XL,258.69,354
PRD1048,Daily Cotton T-Shirt,Premium daily cotton t-shirt. Highly rated and perfect for everyday use.,clothing-womens,PRD1048-V2,Large,211.7,243
PRD1048,Daily Cotton T-Shirt,Basic daily cotton t-shirt. Highly rated and perfect for everyday use.,clothing-womens,PRD1048-V3,Medium,289.51,365
PRD1049,Max Advanced Moisturizer,Deluxe max advanced moisturizer. Highly rated and perfect for everyday use.,health-and-beauty-vitamins,PRD1049-V1,500ml,155.03,0
PRD1049,Max Advanced Moisturizer,Standard max advanced moisturizer. Highly rated and perfect for everyday use.,health-and-beauty-vitamins,PRD1049-V2,250ml,152.16,445
PRD1049,Max Advanced Moisturizer,Deluxe max advanced moisturizer. Highly rated and perfect for everyday use.,health-and-beauty-vitamins,PRD1049-V3,100ml,136.62,303
PRD1049,Max Advanced Moisturizer,Standard max advanced moisturizer. Highly rated and perfect for everyday use.,health-and-beauty-vitamins,PRD1049-V4,1L,129.46,246
PRD1050,Choice Keyboard,Advanced choice keyboard. Highly rated and perfect for everyday use.,electronics-cables,PRD1050-V1,Blue,285.83,339
PRD1050,Choice Keyboard,Premium choice keyboard. Highly rated and perfect for everyday use.,electronics-cables,PRD1050-V2,White,380.14,430
PRD1050,Choice Keyboard,Pro choice keyboard. Highly rated and perfect for everyday use.,electronics-cables,PRD1050-V3,Black,370.28,442
PRD1050,Choice Keyboard,Basic choice keyboard. Highly rated and perfect for everyday use.,electronics-cables,PRD1050-V4,Silver,326.87,398
PRD1051,Prime All-Purpose Cleaner,Premium prime all-purpose cleaner. Highly rated and perfect for everyday use.,home-and-garden-cleaning,PRD1051-V1,Large,80.51,0
PRD1052,Prime Cotton Sneakers,Premium prime cotton sneakers. Highly rated and perfect for everyday use.,clothing-mens,PRD1052-V1,Medium,299.63,80
PRD1052,Prime Cotton Sneakers,Premium prime cotton sneakers. Highly rated and perfect for everyday use.,clothing-mens,PRD1052-V2,Small,445.3,62
PRD1052,Prime Cotton Sneakers,Basic prime cotton sneakers. Highly rated and perfect for everyday use.,clothing-mens,PRD1052-V3,Large,345.24,255
PRD1052,Prime Cotton Sneakers,Premium prime cotton sneakers. Highly rated and perfect for everyday use.,clothing-mens,PRD1052-V4,XL,333.71,310
PRD1052,Prime Cotton Sneakers,Premium prime cotton sneakers. Highly rated and perfect for everyday use.,clothing-mens,PRD1052-V5,XXL,272.24,116
PRD1053,Ultra Plant Pot,Pro ultra plant pot. Highly rated and perfect for everyday use.,home-and-garden-cleaning,PRD1053-V1,Standard,115.9,329
PRD1053,Ultra Plant Pot,Advanced ultra plant pot. Highly rated and perfect for everyday use.,home-and-garden-cleaning,PRD1053-V2,Large,76.9,142
PRD1054,Monate Pro Soap Bar,Basic monate pro soap bar. Highly rated and perfect for everyday use.,health-and-beauty-hair-care,PRD1054-V1,500ml,67.73,269
PRD1054,Monate Pro Soap Bar,Eco-Friendly monate pro soap bar. Highly rated and perfect for everyday use.,health-and-beauty-hair-care,PRD1054-V2,1L,65.55,379
PRD1054,Monate Pro Soap Bar,Standard monate pro soap bar. Highly rated and perfect for everyday use.,health-and-beauty-hair-care,PRD1054-V3,250ml,81.91,166
PRD1054,Monate Pro Soap Bar,Basic monate pro soap bar. Highly rated and perfect for everyday use.,health-and-beauty-hair-care,PRD1054-V4,100ml,54.84,291
PRD1055,Daily Cotton T-Shirt,Pro daily cotton t-shirt. Highly rated and perfect for everyday use.,clothing-womens,PRD1055-V1,Medium,154.18,178
PRD1055,Daily Cotton T-Shirt,Eco-Friendly daily cotton t-shirt. Highly rated and perfect for everyday use.,clothing-womens,PRD1055-V2,Small,115.42,306
PRD1055,Daily Cotton T-Shirt,Premium daily cotton t-shirt. Highly rated and perfect for everyday use.,clothing-womens,PRD1055-V3,XL,169.86,142
PRD1056,Essential Earbuds,Premium essential earbuds. Highly rated and perfect for everyday use.,electronics-power,PRD1056-V1,Black,420.66,95
PRD1057,Choice Plant Pot,Eco-Friendly choice plant pot. Highly rated and perfect for everyday use.,home-and-garden-decor,PRD1057-V1,Value Pack,88.43,495
PRD1057,Choice Plant Pot,Advanced choice plant pot. Highly rated and perfect for everyday use.,home-and-garden-decor,PRD1057-V2,Large,132.67,445
PRD1058,Ultra Power Bank,Standard ultra power bank. Highly rated and perfect for everyday use.,electronics-cables,PRD1058-V1,Silver,392.24,78
PRD1059,Luxe Keyboard,Basic luxe keyboard. Highly rated and perfect for everyday use.,electronics-accessories,PRD1059-V1,White,213.88,140
PRD1059,Luxe Keyboard,Standard luxe keyboard. Highly rated and perfect for everyday use.,electronics-accessories,PRD1059-V2,Silver,188.0,349
PRD1059,Luxe Keyboard,Deluxe luxe keyboard. Highly rated and perfect for everyday use.,electronics-accessories,PRD1059-V3,Black,220.56,61
PRD1059,Luxe Keyboard,Eco-Friendly luxe keyboard. Highly rated and perfect for everyday use.,electronics-accessories,PRD1059-V4,Blue,216.17,90
PRD1060,Prime Bed Sheets,Premium prime bed sheets. Highly rated and perfect for everyday use.,home-and-garden-bedding,PRD1060-V1,Value Pack,270.16,81
PRD1060,Prime Bed Sheets,Basic prime bed sheets. Highly rated and perfect for everyday use.,home-and-garden-bedding,PRD1060-V2,Large,191.93,113
PRD1061,Choice Rice,Basic choice rice. Highly rated and perfect for everyday use.,groceries-snacks,PRD1061-V1,10kg,19.2,148
PRD1062,Luxe Sugar,Standard luxe sugar. Highly rated and perfect for everyday use.,groceries-pantry,PRD1062-V1,10kg,17.1,453
PRD1062,Luxe Sugar,Eco-Friendly luxe sugar. Highly rated and perfect for everyday use.,groceries-pantry,PRD1062-V2,5kg,18.26,365
PRD1062,Luxe Sugar,Pro luxe sugar. Highly rated and perfect for everyday use.,groceries-pantry,PRD1062-V3,1kg,23.59,190
PRD1063,Daily Pasta,Advanced daily pasta. Highly rated and perfect for everyday use.,groceries-beverages,PRD1063-V1,10kg,103.47,303
PRD1064,Essential Cotton Jacket,Advanced essential cotton jacket. Highly rated and perfect for everyday use.,clothing-womens,PRD1064-V1,XL,153.24,120
PRD1064,Essential Cotton Jacket,Basic essential cotton jacket. Highly rated and perfect for everyday use.,clothing-womens,PRD1064-V2,Medium,192.86,446
PRD1064,Essential Cotton Jacket,Premium essential cotton jacket. Highly rated and perfect for everyday use.,clothing-womens,PRD1064-V3,Small,244.89,219
PRD1065,Max Cotton T-Shirt,Standard max cotton t-shirt. Highly rated and perfect for everyday use.,clothing-winter,PRD1065-V1,Medium,227.8,152
PRD1066,Daily Cotton Jeans,Eco-Friendly daily cotton jeans. Highly rated and perfect for everyday use.,clothing-mens,PRD1066-V1,Large,491.87,327
PRD1066,Daily Cotton Jeans,Premium daily cotton jeans. Highly rated and perfect for everyday use.,clothing-mens,PRD1066-V2,Small,381.1,1
PRD1066,Daily Cotton Jeans,Standard daily cotton jeans. Highly rated and perfect for everyday use.,clothing-mens,PRD1066-V3,XL,515.75,298
PRD1066,Daily Cotton Jeans,Advanced daily cotton jeans. Highly rated and perfect for everyday use.,clothing-mens,PRD1066-V4,XXL,606.38,499
PRD1066,Daily Cotton Jeans,Premium daily cotton jeans. Highly rated and perfect for everyday use.,clothing-mens,PRD1066-V5,Medium,404.83,330
PRD1067,Max All-Purpose Cleaner,Standard max all-purpose cleaner. Highly rated and perfect for everyday use.,home-and-garden-bedding,PRD1067-V1,Large,66.05,205
PRD1067,Max All-Purpose Cleaner,Advanced max all-purpose cleaner. Highly rated and perfect for everyday use.,home-and-garden-bedding,PRD1067-V2,Value Pack,86.11,339
PRD1067,Max All-Purpose Cleaner,Basic max all-purpose cleaner. Highly rated and perfect for everyday use.,home-and-garden-bedding,PRD1067-V3,Standard,105.74,469
PRD1068,Ultra Cotton Jeans,Basic ultra cotton jeans. Highly rated and perfect for everyday use.,clothing-activewear,PRD1068-V1,Large,194.01,33
PRD1068,Ultra Cotton Jeans,Standard ultra cotton jeans. Highly rated and perfect for everyday use.,clothing-activewear,PRD1068-V2,XXL,150.29,166
PRD1068,Ultra Cotton Jeans,Eco-Friendly ultra cotton jeans. Highly rated and perfect for everyday use.,clothing-activewear,PRD1068-V3,Small,151.48,483
PRD1069,Essential Power Bank,Pro essential power bank. Highly rated and perfect for everyday use.,electronics-audio,PRD1069-V1,Blue,360.57,487
PRD1069,Essential Power Bank,Basic essential power bank. Highly rated and perfect for everyday use.,electronics-audio,PRD1069-V2,Silver,282.66,263
PRD1069,Essential Power Bank,Pro essential power bank. Highly rated and perfect for everyday use.,electronics-audio,PRD1069-V3,Black,499.0,161
PRD1070,Choice Plant Pot,Basic choice plant pot. Highly rated and perfect for everyday use.,home-and-garden-gardening,PRD1070-V1,Value Pack,290.83,163
PRD1070,Choice Plant Pot,Eco-Friendly choice plant pot. Highly rated and perfect for everyday use.,home-and-garden-gardening,PRD1070-V2,Large,233.72,318
PRD1071,Ultra Standard Soap Bar,Deluxe ultra standard soap bar. Highly rated and perfect for everyday use.,health-and-beauty-bath,PRD1071-V1,100ml,55.73,177
PRD1071,Ultra Standard Soap Bar,Eco-Friendly ultra standard soap bar. Highly rated and perfect for everyday use.,health-and-beauty-bath,PRD1071-V2,1L,57.88,237
PRD1071,Ultra Standard Soap Bar,Standard ultra standard soap bar. Highly rated and perfect for everyday use.,health-and-beauty-bath,PRD1071-V3,250ml,57.18,270
PRD1071,Ultra Standard Soap Bar,Deluxe ultra standard soap bar. Highly rated and perfect for everyday use.,health-and-beauty-bath,PRD1071-V4,500ml,61.52,458
PRD1072,Prime HDMI Cable,Basic prime hdmi cable. Highly rated and perfect for everyday use.,electronics-accessories,PRD1072-V1,White,96.45,191
PRD1072,Prime HDMI Cable,Standard prime hdmi cable. Highly rated and perfect for everyday use.,electronics-accessories,PRD1072-V2,Black,67.12,436
