baseSku,productName,productDescription,categorySlug,variantSku,attributeSummary,price,stockQuantity
PRD1025,Product PRD1025,High quality item PRD1025 for everyday use.,groceries-snacks,PRD1025-V2,Option 2,752.71,328
PRD1025,Product PRD1025,High quality item PRD1025 for everyday use.,groceries-snacks,PRD1025-V3,Option 3,381.65,396
PRD1025,Product PRD1025,High quality item PRD1025 for everyday use.,groceries-snacks,PRD1025-V4,Option 4,693.79,61
PRD1026,Product PRD1026,High quality item PRD1026 for everyday use.,groceries-pantry,PRD1026-V1,Option 1,720.77,146
PRD1026,Product PRD1026,High quality item PRD1026 for everyday use.,groceries-pantry,PRD1026-V2,Option 2,429.21,485
PRD1026,Product PRD1026,High quality item PRD1026 for everyday use.,groceries-pantry,PRD1026-V3,Option 3,397.67,392
PRD1026,Product PRD1026,High quality item PRD1026 for everyday use.,groceries-pantry,PRD1026-V4,Option 4,560.8,152
PRD1027,Product PRD1027,High quality item PRD1027 for everyday use.,clothing-womens,PRD1027-V1,Option 1,708.93,415
PRD1027,Product PRD1027,High quality item PRD1027 for everyday use.,clothing-womens,PRD1027-V2,Option 2,260.04,33
PRD1027,Product PRD1027,High quality item PRD1027 for everyday use.,clothing-womens,PRD1027-V3,Option 3,97.58,219
PRD1027,Product PRD1027,High quality item PRD1027 for everyday use.,clothing-womens,PRD1027-V4,Option 4,740.01,101
PRD1028,Product PRD1028,High quality item PRD1028 for everyday use.,groceries-snacks,PRD1028-V1,Option 1,230.9,231
PRD1028,Product PRD1028,High quality item PRD1028 for everyday use.,groceries-snacks,PRD1028-V2,Option 2,234.68,355
PRD1028,Product PRD1028,High quality item PRD1028 for everyday use.,groceries-snacks,PRD1028-V3,Option 3,484.58,290
PRD1028,Product PRD1028,High quality item PRD1028 for everyday use.,groceries-snacks,PRD1028-V4,Option 4,281.18,185
PRD1029,Product PRD1029,High quality item PRD1029 for everyday use.,electronics-audio,PRD1029-V1,Option 1,400.33,134
PRD1029,Product PRD1029,High quality item PRD1029 for everyday use.,electronics-audio,PRD1029-V2,Option 2,83.46,456
PRD1029,Product PRD1029,High quality item PRD1029 for everyday use.,electronics-audio,PRD1029-V3,Option 3,82.05,313
PRD1029,Product PRD1029,High quality item PRD1029 for everyday use.,electronics-audio,PRD1029-V4,Option 4,681.95,138
PRD1030,Product PRD1030,High quality item PRD1030 for everyday use.,electronics-audio,PRD1030-V1,Option 1,739.18,386
PRD1030,Product PRD1030,High quality item PRD1030 for everyday use.,electronics-audio,PRD1030-V2,Option 2,368.96,8
PRD1030,Product PRD1030,High quality item PRD1030 for everyday use.,electronics-audio,PRD1030-V3,Option 3,253.0,60
PRD1030,Product PRD1030,High quality item PRD1030 for everyday use.,electronics-audio,PRD1030-V4,Option 4,962.01,174
PRD1031,Product PRD1031,High quality item PRD1031 for everyday use.,home-garden-cleaning,PRD1031-V1,Option 1,49.3,447
PRD1031,Product PRD1031,High quality item PRD1031 for everyday use.,home-garden-cleaning,PRD1031-V2,Option 2,735.39,29
PRD1031,Product PRD1031,High quality item PRD1031 for everyday use.,home-garden-cleaning,PRD1031-V3,Option 3,370.48,345
PRD1031,Product PRD1031,High quality item PRD1031 for everyday use.,home-garden-cleaning,PRD1031-V4,Option 4,207.16,240
PRD1032,Product PRD1032,High quality item PRD1032 for everyday use.,electronics-audio,PRD1032-V1,Option 1,800.92,114
PRD1032,Product PRD1032,High quality item PRD1032 for everyday use.,electronics-audio,PRD1032-V2,Option 2,451.0,495
PRD1032,Product PRD1032,High quality item PRD1032 for everyday use.,electronics-audio,PRD1032-V3,Option 3,362.79,424
PRD1032,Product PRD1032,High quality item PRD1032 for everyday use.,electronics-audio,PRD1032-V4,Option 4,442.3,230
PRD1033,Product PRD1033,High quality item PRD1033 for everyday use.,groceries-snacks,PRD1033-V1,Option 1,769.51,261
PRD1033,Product PRD1033,High quality item PRD1033 for everyday use.,groceries-snacks,PRD1033-V2,Option 2,20.76,279
PRD1033,Product PRD1033,High quality item PRD1033 for everyday use.,groceries-snacks,PRD1033-V3,Option 3,329.92,82
PRD1033,Product PRD1033,High quality item PRD1033 for everyday use.,groceries-snacks,PRD1033-V4,Option 4,785.92,113
PRD1034,Product PRD1034,High quality item PRD1034 for everyday use.,groceries-beverages,PRD1034-V1,Option 1,537.64,56
PRD1034,Product PRD1034,High quality item PRD1034 for everyday use.,groceries-beverages,PRD1034-V2,Option 2,284.71,478
PRD1034,Product PRD1034,High quality item PRD1034 for everyday use.,groceries-beverages,PRD1034-V3,Option 3,251.54,320
PRD1034,Product PRD1034,High quality item PRD1034 for everyday use.,groceries-beverages,PRD1034-V4,Option 4,920.08,1
PRD1035,Product PRD1035,High quality item PRD1035 for everyday use.,electronics-accessories,PRD1035-V1,Option 1,612.46,88
PRD1035,Product PRD1035,High quality item PRD1035 for everyday use.,electronics-accessories,PRD1035-V2,Option 2,606.13,486
PRD1035,Product PRD1035,High quality item PRD1035 for everyday use.,electronics-accessories,PRD1035-V3,Option 3,777.98,264
PRD1035,Product PRD1035,High quality item PRD1035 for everyday use.,electronics-accessories,PRD1035-V4,Option 4,94.85,13
PRD1036,Product PRD1036,High quality item PRD1036 for everyday use.,clothing-womens,PRD1036-V1,Option 1,100.95,378
PRD1036,Product PRD1036,High quality item PRD1036 for everyday use.,clothing-womens,PRD1036-V2,Option 2,507.17,228
PRD1036,Product PRD1036,High quality item PRD1036 for everyday use.,clothing-womens,PRD1036-V3,Option 3,434.62,304
PRD1036,Product PRD1036,High quality item PRD1036 for everyday use.,clothing-womens,PRD1036-V4,Option 4,839.34,317
PRD1037,Product PRD1037,High quality item PRD1037 for everyday use.,clothing-womens,PRD1037-V1,Option 1,981.33,468
PRD1037,Product PRD1037,High quality item PRD1037 for everyday use.,clothing-womens,PRD1037-V2,Option 2,705.62,273
PRD1037,Product PRD1037,High quality item PRD1037 for everyday use.,clothing-womens,PRD1037-V3,Option 3,390.65,205
PRD1037,Product PRD1037,High quality item PRD1037 for everyday use.,clothing-womens,PRD1037-V4,Option 4,260.57,2
PRD1038,Product PRD1038,High quality item PRD1038 for everyday use.,home-garden-decor,PRD1038-V1,Option 1,238.59,372
PRD1038,Product PRD1038,High quality item PRD1038 for everyday use.,home-garden-decor,PRD1038-V2,Option 2,828.51,262
PRD1038,Product PRD1038,High quality item PRD1038 for everyday use.,home-garden-decor,PRD1038-V3,Option 3,697.5,123
PRD1038,Product PRD1038,High quality item PRD1038 for everyday use.,home-garden-decor,PRD1038-V4,Option 4,604.79,349
PRD1039,Product PRD1039,High quality item PRD1039 for everyday use.,groceries-snacks,PRD1039-V1,Option 1,801.54,364
PRD1039,Product PRD1039,High quality item PRD1039 for everyday use.,groceries-snacks,PRD1039-V2,Option 2,511.86,124
PRD1039,Product PRD1039,High quality item PRD1039 for everyday use.,groceries-snacks,PRD1039-V3,Option 3,717.79,478
PRD1039,Product PRD1039,High quality item PRD1039 for everyday use.,groceries-snacks,PRD1039-V4,Option 4,61.62,309
PRD1040,Product PRD1040,High quality item PRD1040 for everyday use.,clothing-womens,PRD1040-V1,Option 1,410.54,453
PRD1040,Product PRD1040,High quality item PRD1040 for everyday use.,clothing-womens,PRD1040-V2,Option 2,817.46,410
PRD1040,Product PRD1040,High quality item PRD1040 for everyday use.,clothing-womens,PRD1040-V3,Option 3,23.62,298
PRD1040,Product PRD1040,High quality item PRD1040 for everyday use.,clothing-womens,PRD1040-V4,Option 4,658.86,114
PRD1041,Product PRD1041,High quality item PRD1041 for everyday use.,electronics-accessories,PRD1041-V1,Option 1,362.31,490
PRD1041,Product PRD1041,High quality item PRD1041 for everyday use.,electronics-accessories,PRD1041-V2,Option 2,115.31,32
PRD1041,Product PRD1041,High quality item PRD1041 for everyday use.,electronics-accessories,PRD1041-V3,Option 3,229.16,479
PRD1041,Product PRD1041,High quality item PRD1041 for everyday use.,electronics-accessories,PRD1041-V4,Option 4,167.43,213
PRD1042,Product PRD1042,High quality item PRD1042 for everyday use.,home-garden-decor,PRD1042-V1,Option 1,837.4,137
PRD1042,Product PRD1042,High quality item PRD1042 for everyday use.,home-garden-decor,PRD1042-V2,Option 2,688.19,82
PRD1042,Product PRD1042,High quality item PRD1042 for everyday use.,home-garden-decor,PRD1042-V3,Option 3,887.16,11
PRD1042,Product PRD1042,High quality item PRD1042 for everyday use.,home-garden-decor,PRD1042-V4,Option 4,701.08,368
PRD1043,Product PRD1043,High quality item PRD1043 for everyday use.,clothing-womens,PRD1043-V1,Option 1,684.35,13
PRD1043,Product PRD1043,High quality item PRD1043 for everyday use.,clothing-womens,PRD1043-V2,Option 2,687.54,14
PRD1043,Product PRD1043,High quality item PRD1043 for everyday use.,clothing-womens,PRD1043-V3,Option 3,150.64,35
PRD1043,Product PRD1043,High quality item PRD1043 for everyday use.,clothing-womens,PRD1043-V4,Option 4,653.02,243
PRD1044,Product PRD1044,High quality item PRD1044 for everyday use.,home-garden-decor,PRD1044-V1,Option 1,871.57,432
PRD1044,Product PRD1044,High quality item PRD1044 for everyday use.,home-garden-decor,PRD1044-V2,Option 2,248.75,230
PRD1044,Product PRD1044,High quality item PRD1044 for everyday use.,home-garden-decor,PRD1044-V3,Option 3,912.24,301
PRD1044,Product PRD1044,High quality item PRD1044 for everyday use.,home-garden-decor,PRD1044-V4,Option 4,559.31,186
PRD1045,Product PRD1045,High quality item PRD1045 for everyday use.,groceries-beverages,PRD1045-V1,Option 1,871.33,481
PRD1045,Product PRD1045,High quality item PRD1045 for everyday use.,groceries-beverages,PRD1045-V2,Option 2,167.15,120
PRD1045,Product PRD1045,High quality item PRD1045 for everyday use.,groceries-beverages,PRD1045-V3,Option 3,896.48,268
PRD1045,Product PRD1045,High quality item PRD1045 for everyday use.,groceries-beverages,PRD1045-V4,Option 4,30.51,218
PRD1046,Product PRD1046,High quality item PRD1046 for everyday use.,groceries-snacks,PRD1046-V1,Option 1,728.13,29
PRD1046,Product PRD1046,High quality item PRD1046 for everyday use.,groceries-snacks,PRD1046-V2,Option 2,637.25,80
PRD1046,Product PRD1046,High quality item PRD1046 for everyday use.,groceries-snacks,PRD1046-V3,Option 3,730.25,53
PRD1046,Product PRD1046,High quality item PRD1046 for everyday use.,groceries-snacks,PRD1046-V4,Option 4,398.19,236
PRD1047,Product PRD1047,High quality item PRD1047 for everyday use.,home-garden-cleaning,PRD1047-V1,Option 1,292.37,379
PRD1047,Product PRD1047,High quality item PRD1047 for everyday use.,home-garden-cleaning,PRD1047-V2,Option 2,446.49,330
PRD1047,Product PRD1047,High quality item PRD1047 for everyday use.,home-garden-cleaning,PRD1047-V3,Option 3,310.06,350
PRD1047,Product PRD1047,High quality item PRD1047 for everyday use.,home-garden-cleaning,PRD1047-V4,Option 4,262.8,183
PRD1048,Product PRD1048,High quality item PRD1048 for everyday use.,clothing-mens,PRD1048-V1,Option 1,152.54,365
PRD1048,Product PRD1048,High quality item PRD1048 for everyday use.,clothing-mens,PRD1048-V2,Option 2,585.64,43
PRD1048,Product PRD1048,High quality item PRD1048 for everyday use.,clothing-mens,PRD1048-V3,Option 3,880.05,171
PRD1048,Product PRD1048,High quality item PRD1048 for everyday use.,clothing-mens,PRD1048-V4,Option 4,583.31,284
PRD1049,Product PRD1049,High quality item PRD1049 for everyday use.,electronics-accessories,PRD1049-V1,Option 1,23.85,137
PRD1049,Product PRD1049,High quality item PRD1049 for everyday use.,electronics-accessories,PRD1049-V2,Option 2,391.14,348
PRD1049,Product PRD1049,High quality item PRD1049 for everyday use.,electronics-accessories,PRD1049-V3,Option 3,256.02,75
PRD1049,Product PRD1049,High quality item PRD1049 for everyday use.,electronics-accessories,PRD1049-V4,Option 4,246.48,51
PRD1050,Product PRD1050,High quality item PRD1050 for everyday use.,groceries-pantry,PRD1050-V1,Option 1,359.55,286
PRD1050,Product PRD1050,High quality item PRD1050 for everyday use.,groceries-pantry,PRD1050-V2,Option 2,198.43,298
PRD1050,Product PRD1050,High quality item PRD1050 for everyday use.,groceries-pantry,PRD1050-V3,Option 3,706.65,47
PRD1050,Product PRD1050,High quality item PRD1050 for everyday use.,groceries-pantry,PRD1050-V4,Option 4,582.1,462
PRD1051,Product PRD1051,High quality item PRD1051 for everyday use.,groceries-snacks,PRD1051-V1,Option 1,212.18,433
PRD1051,Product PRD1051,High quality item PRD1051 for everyday use.,groceries-snacks,PRD1051-V2,Option 2,613.2,233
PRD1051,Product PRD1051,High quality item PRD1051 for everyday use.,groceries-snacks,PRD1051-V3,Option 3,59.27,40
PRD1051,Product PRD1051,High quality item PRD1051 for everyday use.,groceries-snacks,PRD1051-V4,Option 4,910.72,209
PRD1052,Product PRD1052,High quality item PRD1052 for everyday use.,clothing-womens,PRD1052-V1,Option 1,15.39,280
PRD1052,Product PRD1052,High quality item PRD1052 for everyday use.,clothing-womens,PRD1052-V2,Option 2,880.14,455
PRD1052,Product PRD1052,High quality item PRD1052 for everyday use.,clothing-womens,PRD1052-V3,Option 3,792.53,86
PRD1052,Product PRD1052,High quality item PRD1052 for everyday use.,clothing-womens,PRD1052-V4,Option 4,441.29,261
PRD1053,Product PRD1053,High quality item PRD1053 for everyday use.,clothing-mens,PRD1053-V1,Option 1,151.99,95
PRD1053,Product PRD1053,High quality item PRD1053 for everyday use.,clothing-mens,PRD1053-V2,Option 2,865.05,193
PRD1053,Product PRD1053,High quality item PRD1053 for everyday use.,clothing-mens,PRD1053-V3,Option 3,789.08,342
PRD1053,Product PRD1053,High quality item PRD1053 for everyday use.,clothing-mens,PRD1053-V4,Option 4,15.51,332
PRD1054,Product PRD1054,High quality item PRD1054 for everyday use.,home-garden-cleaning,PRD1054-V1,Option 1,232.62,140
PRD1054,Product PRD1054,High quality item PRD1054 for everyday use.,home-garden-cleaning,PRD1054-V2,Option 2,881.93,214
PRD1054,Product PRD1054,High quality item PRD1054 for everyday use.,home-garden-cleaning,PRD1054-V3,Option 3,394.21,452
PRD1054,Product PRD1054,High quality item PRD1054 for everyday use.,home-garden-cleaning,PRD1054-V4,Option 4,77.94,456
PRD1055,Product PRD1055,High quality item PRD1055 for everyday use.,clothing-womens,PRD1055-V1,Option 1,785.5,332
PRD1055,Product PRD1055,High quality item PRD1055 for everyday use.,clothing-womens,PRD1055-V2,Option 2,86.63,96
PRD1055,Product PRD1055,High quality item PRD1055 for everyday use.,clothing-womens,PRD1055-V3,Option 3,633.76,75
PRD1055,Product PRD1055,High quality item PRD1055 for everyday use.,clothing-womens,PRD1055-V4,Option 4,751.68,260
PRD1056,Product PRD1056,High quality item PRD1056 for everyday use.,electronics-audio,PRD1056-V1,Option 1,320.93,386
PRD1056,Product PRD1056,High quality item PRD1056 for everyday use.,electronics-audio,PRD1056-V2,Option 2,322.39,321
PRD1056,Product PRD1056,High quality item PRD1056 for everyday use.,electronics-audio,PRD1056-V3,Option 3,337.85,240
PRD1056,Product PRD1056,High quality item PRD1056 for everyday use.,electronics-audio,PRD1056-V4,Option 4,573.57,402
PRD1057,Product PRD1057,High quality item PRD1057 for everyday use.,home-garden-decor,PRD1057-V1,Option 1,464.44,385
PRD1057,Product PRD1057,High quality item PRD1057 for everyday use.,home-garden-decor,PRD1057-V2,Option 2,252.51,213
PRD1057,Product PRD1057,High quality item PRD1057 for everyday use.,home-garden-decor,PRD1057-V3,Option 3,744.12,132
PRD1057,Product PRD1057,High quality item PRD1057 for everyday use.,home-garden-decor,PRD1057-V4,Option 4,881.19,237
PRD1058,Product PRD1058,High quality item PRD1058 for everyday use.,home-garden-cleaning,PRD1058-V1,Option 1,506.23,8
PRD1058,Product PRD1058,High quality item PRD1058 for everyday use.,home-garden-cleaning,PRD1058-V2,Option 2,846.54,360
PRD1058,Product PRD1058,High quality item PRD1058 for everyday use.,home-garden-cleaning,PRD1058-V3,Option 3,843.43,217
PRD1058,Product PRD1058,High quality item PRD1058 for everyday use.,home-garden-cleaning,PRD1058-V4,Option 4,764.47,206
